"config","type","n_obs","n_simulations","mcar","mar","mnar","outliers","DDC","m","R","k","(intercept)","X1","X2","X3"
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0372748578398001,-0.154448255366032,-0.16958609091855,-0.0789747356489348
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0385204925006969,-0.150671659977262,-0.172050583929063,-0.0742508619487245
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0385107814561684,-0.150261023422413,-0.171549338558193,-0.0747180071052531
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0277736740990942,0.0112761313321546,-0.00219743282371939,0.118847386840257
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0320584598639893,0.0151126486318986,0.0012477320720445,0.116857639848486
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0278846036705179,0.0135132900805002,-0.00197164258144829,0.119688158283659
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0240265665420768,0.00896937968984069,-0.0015824996252926,0.115070411980579
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0931593797007992,0.0194563135768682,-0.139460299833909,-0.0439021750383323
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0913874206117707,0.0217944989271712,-0.129594245304094,-0.0483521781771672
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.090232889618709,0.0238011290720696,-0.133695253920062,-0.0465046346951768
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0858541820418325,0.0230479498096181,-0.12925887039076,-0.0423501770528543
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0224952458201887,-0.0375312708114031,-0.0678077263261066,-0.187496292102961
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0233214390328463,-0.0361433313048168,-0.0659191214122046,-0.190164415697564
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0224952458201887,-0.0375312708114031,-0.0678077263261067,-0.187496292102961
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0233201334409888,-0.0367644063948448,-0.0686060027023464,-0.18681245287811
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0502637894800056,0.0117768460954938,-0.0135509736590861,-0.0658568185680179
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0508824181919535,0.0129697612776377,-0.0198532672436003,-0.0606270777211047
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0502637894800055,0.011776846095494,-0.0135509736590859,-0.0658568185680179
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0531368764040519,0.0154602858850645,-0.0139396810579715,-0.0585243829388108
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0184719156020752,-0.0822035588904747,-0.126933905473172,-0.00785335422583408
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0190918539354573,-0.0837134436214888,-0.118907402394014,-0.0111210528791524
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0183362701264886,-0.0822436142826895,-0.124838986258125,-0.00783856172543807
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.020184480557918,-0.0802659509960989,-0.120668384120507,-0.00925161119634211
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0319016846615218,-0.0205655811146981,0.0208137759953523,0.0388609694866376
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0324625575445469,-0.0229994160995396,0.0180631019126215,0.0346073002075044
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0315502593006208,-0.0218157648755807,0.0197172693072584,0.0343108131776295
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0285231624248092,-0.0254124181737511,0.0196952542415845,0.0347718495168999
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0537866200498933,-0.0214521102480732,-0.0213131318507194,-0.0985322416811772
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0560534244086215,-0.0190223185411013,-0.0222675445090303,-0.099910277298831
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0537866200498824,-0.0214521102480843,-0.0213131318507313,-0.0985322416811928
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0541592900690928,-0.0234091466286485,-0.016829779392439,-0.102188620717395
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0512538503669359,0.117962441681829,0.00978304274648408,0.0547493876989315
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0550761650454651,0.112691025123509,0.00103991051013635,0.0557947935797967
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0512538503669359,0.117962441681829,0.00978304274648408,0.0547493876989315
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0554061189687093,0.11723615556361,0.0055378701662916,0.05299241024313
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0328218180097303,-0.0229596316837266,0.107593057312819,0.00226187740745851
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0300100594027945,-0.0322537807530759,0.101116815945936,-0.00403568432726203
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0380348512659983,-0.0337982392884902,0.105721704583057,-0.00123346593620008
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0293699167750746,-0.0308372673999691,0.102690120127132,-0.000284193082556068
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0650342053835488,0.0543347984932146,-0.014175944315495,0.0320480940404793
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0671120899898191,0.0551604082326611,-0.0144114579352956,0.0332699188348835
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0631860263558013,0.0572169833360081,-0.0129661994899271,0.0320056532331241
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0645894109738692,0.0558611744628989,-0.014408001529766,0.0269423514738482
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0288838091970567,0.0590507682876192,-0.0989033526400846,0.0108107144094059
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0293038736064647,0.0616939762694703,-0.0983359907979541,0.00918273299524119
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0288838091970567,0.0590507682876192,-0.0989033526400846,0.0108107144094059
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0308327522652431,0.0610214754583371,-0.101409591758442,0.0164070230684846
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0845273951553265,0.0695593281990427,0.0641359920698373,0.0747175541363796
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.083944409385506,0.0668979662144051,0.0657948444300587,0.0715912511946281
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0845273951553265,0.0695593281990427,0.0641359920698373,0.0747175541363796
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.08283821515926,0.0663076328203681,0.0611285499963585,0.0707457453727743
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0629186768364683,0.0611964646816555,-0.0688029449948839,0.0952381890591605
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0645561343808894,0.0635188690809298,-0.0660859713381996,0.0955492779893041
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0629186768364683,0.0611964646816555,-0.0688029449948839,0.0952381890591605
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0587240610415601,0.0629983055491415,-0.0661844803263048,0.096374272183732
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.000359565833247542,-0.0813779696584832,0.0244212072137177,-0.0721885954924736
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00126523847380361,-0.0806592375485483,0.0245633830076634,-0.0761008924076056
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0004293428770103,-0.0815825377481303,0.0244006941079964,-0.0730209268422108
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.00290424388480652,-0.078603666136712,0.0260366912028202,-0.074136650761259
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0353639004002008,-0.111564166706752,-0.0854115505293524,-0.00418330070751402
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0323418135732334,-0.114811264797465,-0.0834538860348611,-0.00855031221114225
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0353639004002008,-0.111564166706752,-0.0854115505293524,-0.00418330070751402
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0370794352832709,-0.117245951241534,-0.084548906391202,-0.00366217541605787
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.103881779584903,0.0471428430909846,-0.0804844884981314,0.0186546678541053
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0993464825208681,0.0553755525861963,-0.078200132986493,0.0198626738806181
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.104078747343631,0.0473534785155045,-0.0794906046452361,0.0186251077731541
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.10213460011446,0.0539054475106795,-0.0739834099752627,0.0189109176935056
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.117478657852995,0.135721895069871,-0.00241463648320324,0.0896486449307185
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.120457644911128,0.137016221449371,0.000423483620816403,0.0876227641302806
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.117478657852995,0.135721895069871,-0.00241463648320324,0.0896486449307185
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.117005930691346,0.138096519426708,-0.00268397407633101,0.0880752221503344
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0360277942703443,0.00896167217700288,0.0917668725733413,0.015084891860623
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0364164867217226,0.0105667751376379,0.0918456896557512,0.0157024861558751
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0360277942703443,0.00896167217700292,0.0917668725733413,0.015084891860623
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0327408280349411,0.00364559226079058,0.0905798560929997,0.013060900994914
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0253537155638651,-0.0323455854149891,0.0352804813447449,-0.151868482224723
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0241420832571963,-0.0292495423828258,0.0435681067627434,-0.144119766866992
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0254523983174486,-0.0315826298582911,0.0354821508199916,-0.149051665751725
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0270889961689357,-0.0285092546581233,0.0392409743228516,-0.140203611354947
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0154015736759255,-0.107636595226254,-0.17218650557724,-0.0498439413261263
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0165735663129606,-0.108024774311799,-0.174165303087895,-0.0466496814425833
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0154234497286965,-0.107637757658788,-0.172175186501794,-0.0498108681873234
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0164657517154127,-0.107789726718351,-0.173734458108589,-0.045104474172397
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0536579923374417,-0.0854547544681945,-0.107420970785102,0.0283720388792922
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0538729555042188,-0.0753907310251991,-0.0973235881905634,0.036067504552267
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0537973864768741,-0.0854267651309377,-0.107603586740101,0.0286185579440675
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,-0.0497828550616864,-0.0829860961147558,-0.099777199851622,0.0325626334953848
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0135489262594556,-0.0384203368860669,0.0544230960907554,0.0635167454384471
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.012918696291686,-0.0376885886692824,0.0587478384139285,0.0588642079250721
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0135129603016907,-0.0374248417024153,0.0577612620157942,0.0639058918732937
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0148682904017717,-0.0366746436468256,0.053023948660653,0.0608800328293618
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0911869961079693,-0.143259962254679,-0.0422091482354853,0.0333332479171154
1,"Boot",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0883969115114377,-0.144148401195194,-0.0485337616084626,0.0341692928213906
1,"MI DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0906668295179347,-0.143338642164071,-0.0430024694086177,0.0336165158660308
1,"Boot DDC",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0900323183705422,-0.147557385328043,-0.0503423107472107,0.0325549103130469
1,"MI",200,100,0.1,0,0,0.2,TRUE,10,1000,5,0.0133672358929326,-0.00143395787352259,0.0737425648241206,-0.0476141746597578
